Column1,Country,Year,Session number,Vote,Overall vote result,Month,Text_number,In favour,Against,Abstaining,Text title,Type,Topic,Main sponsors,Spochina,OIC,EU,WEOG,LMG,AfrU,G7,G20,Chinainfav,Chinagainst,ODI_MOFCOM,BU_ODA,AEI_FDI,FT_ODI
0,Argentina,2021,HRC-46,In favour,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,0,0,0,0,0,0,1,0,0,,,,
1,Argentina,2021,HRC-46,In favour,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,0,0,0,0,0,0,1,0,0,,,,
2,Argentina,2021,HRC-46,In favour,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,0,0,0,0,0,0,1,0,0,,,,
3,Argentina,2021,HRC-46,In favour,In favour,MAR,46/18,21,12,14,Situation of human rights in the Islamic Republic of Iran,Country - Situations,Islamic Republic of Iran,"Iceland, North Macedonia, Republic of Moldova, United Kingdom",0,0,0,0,0,0,0,1,0,0,,,,
4,Argentina,2021,HRC-46,In favour,In favour,MAR,46/2,20,8,18,Promotion and protection of human rights in Nicaragua,Country - Situations,Nicaragua,"Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, Paraguay, Peru",0,0,0,0,0,0,0,1,0,0,,,,
5,Argentina,2021,HRC-46,In favour,In favour,MAR,46/20,20,7,20,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,Country - Situations,Belarus,Portugal (European Union),0,0,0,0,0,0,0,1,0,0,,,,
6,Argentina,2021,HRC-46,In favour,In favour,MAR,46/22,27,6,13,Situation of human rights in the Syrian Arab Republic,Country - Situations,Syrian Arab Republic,"France, Germany, Italy, Jordan, Kuwait, Netherlands, Qatar, Turkey, United Kingdom",0,0,0,0,0,0,0,1,0,0,,,,
7,Argentina,2021,HRC-46,In favour,In favour,MAR,46/23,20,16,11,Situation of human rights in South Sudan,Country - Situations,South Sudan,"Albania, Norway, United Kingdom, United States",0,0,0,0,0,0,0,1,0,0,,,,
8,Argentina,2021,HRC-46,In favour,In favour,MAR,46/25,42,3,2,Right of the Palestinian people to self-determination,Country - Situations,Self-determination,Pakistan (OIC),0,0,0,0,0,0,0,1,0,0,,,,
9,Argentina,2021,HRC-46,In favour,In favour,Mar,46/26,35,3,8,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",Country - Situations,Israeli settlements,Pakistan (OIC),0,0,0,0,0,0,0,1,0,0,,,,
10,Argentina,2021,HRC-46,Abstaining,In favour,Mar,46/30,19,8,19,Cooperation with Georgia,Country - Technical Support/Capacity Building,Georgia,Georgia,0,0,0,0,0,0,0,1,0,0,,,,
