Entry Date (date of delivery),Region,Destination,Arrived (D)
31-Dec-20,Middle East,Turkey,
10-Jan-21,Middle East,Turkey,
20-Jan-21,Middle East,Turkey,
25-Jan-21,Middle East,Turkey,
4-Feb-21,Middle East,Iraq,
28-Feb-21,Middle East,Iran,0.25
2-Mar-21,Middle East,Lebanon,
3-Mar-21,Middle East,Iraq,0.05
13-Mar-21,Middle East,Bahrain,
30-Mar-21,Middle East,Palestine,0.1
31-Mar-21,Middle East,Iran,
3-Apr-21,Middle East,Iran,
6-Apr-21,Middle East,Jordan,
11-Apr-21,Middle East,Iraq,0.2
17-Apr-21,Middle East,Iran,0.4
24-Apr-21,Middle East,Syria,0.15
2-May-21,Middle East,Iran,
4-May-21,Middle East,Iran,
9-May-21,Middle East,Iran,
12-May-21,Middle East,Turkey,
13-May-21,Middle East,Iran,
4-Jun-21,Middle East,Iraq,
19-Jun-21,Middle East,Turkey,
4-Jul-21,Middle East,Iran,
14-Jul-21,Middle East,Lebanon,0.05
19-Jul-21,Middle East,Palestine,
25-Jul-21,Middle East,Iran,0.2
12-Aug-21,Middle East,Iraq,0.5
17-Aug-21,Middle East,Iran,0.7
22-Aug-21,Middle East,Iran,
26-Aug-21,Middle East,Iran,
26-Aug-21,Middle East,Iran,
27-Aug-21,Middle East,Lebanon,0.3
3-Sep-21,Middle East,Iran,
5-Sep-21,Middle East,Iran,
23-Sep-21,Middle East,Iran,
30-Sep-21,Middle East,Iran,2
1-Oct-21,Middle East,Iran,
10-Oct-21,Middle East,Iran,
12-Oct-21,Middle East,Iran,
13-Oct-21,Middle East,Iraq,
14-Oct-21,Middle East,Iraq,1
14-Oct-21,Middle East,Iran,
17-Oct-21,Middle East,Iran,
19-Oct-21,Middle East,Iran,
23-Oct-21,Middle East,Iran,
24-Oct-21,Middle East,Iran,
28-Oct-21,Middle East,Iran,
28-Oct-21,Middle East,Iran,
28-Oct-21,Middle East,Iran,
4-Nov-21,Middle East,Jordan,0.5
11-Nov-21,Middle East,Turkey,
14-Nov-21,Middle East,Syria,0.5
15-Nov-21,Middle East,Iran,
29-Nov-21,Middle East,Lebanon,0.3
4-Jan-22,Middle East,Syria,1
20-Feb-22,Middle East,Palestine,0.5
9-Mar-22,Middle East,UNRWA,0.002
17 May 21,Middle East,Oman,0.1
Aug,Middle East,Syria,
,Middle East,UAE,
,Middle East,Palestine,
,Middle East,UAE,
,Middle East,UAE,
,Middle East,Jordan,
,Middle East,Turkey,
,Middle East,Jordan,-
,Middle East,Jordan,
,Middle East,Turkey,
,Middle East,Iran,
20-Apr-22,Latin America ,Grenada,0.02
10-Dec-20,Latin America,Mexico,
16-Dec-20,Latin America,Brazil,
13-Jan-21,Latin America,Peru,
28-Jan-21,Latin America,Chile,
1-Feb-21,Latin America,Argentina,
3-Feb-21,Latin America,Brazil,
5-Feb-21,Latin America,Brazil,
8-Feb-21,Latin America,Peru,
10-Feb-21,Latin America,Brazil,
11-Feb-21,Latin America,Bolivia,
13-Feb-21,Latin America,Peru,
15-Feb-21,Latin America,Dominican Republic,
20-Feb-21,Latin America,Mexico,
20-Feb-21,Latin America,Colombia,
24-Feb-21,Latin America,Dominican Republic,
24-Feb-21,Latin America,Argentina,
24-Feb-21,Latin America,Dominican Republic,
24-Feb-21,Latin America,Bolivia,0.1
25-Feb-21,Latin America,Colombia,
26-Feb-21,Latin America,Ecuador,
26-Feb-21,Latin America,Uruguay,
28-Feb-21,Latin America,Mexico,
1-Mar-21,Latin America,Venezuela,
2-Mar-21,Latin America,Argentina,
4-Mar-21,Latin America,Guyana,0.02
4-Mar-21,Latin America,Brazil,
5-Mar-21,Latin America,Dominica,0.02
7-Mar-21,Latin America,Colombia,
8-Mar-21,Latin America,Chile,
9-Mar-21,Latin America,Mexico,
9-Mar-21,Latin America,Mexico,
14-Mar-21,Latin America,Mexico,
16-Mar-21,Latin America,Uruguay,
18-Mar-21,Latin America,Colombia,
18-Mar-21,Latin America,Dominican Republic,
18-Mar-21,Latin America,Dominican Republic,0.05
20-Mar-21,Latin America,Colombia,
21-Mar-21,Latin America,Chile,
23-Mar-21,Latin America,Mexico,
24-Mar-21,Latin America,Trinidad and Tobago,
25-Mar-21,Latin America,Mexico,
26-Mar-21,Latin America,Mexico,
29-Mar-21,Latin America,El Salvador,
30-Mar-21,Latin America,Bolivia,
30-Mar-21,Latin America,Argentina,
31-Mar-21,Latin America,Chile,
1-Apr-21,Latin America,Barbados,
5-Apr-21,Latin America,El Salvador,
8-Apr-21,Latin America,El Salvador,0.15
10-Apr-21,Latin America,Ecuador,
11-Apr-21,Latin America,Chile,
11-Apr-21,Latin America,Colombia,
19-Apr-21,Latin America,Brazil,
25-Apr-21,Latin America,Mexico,
25-Apr-21,Latin America,Argentina,
25-Apr-21,Latin America,Argentina,
26-Apr-21,Latin America,Argentina,
26-Apr-21,Latin America,El Salvador,
27-Apr-21,Latin America,Colombia,
29-Apr-21,Latin America,Argentina,
1-May-21,Latin America,Colombia,
3-May-21,Latin America,Chile,
5-May-21,Latin America,Chile,
9-May-21,Latin America,Dominican Republic,
9-May-21,Latin America,Colombia,
10-May-21,Latin America,Peru,
10-May-21,Latin America,Trinidad and Tobago,
12-May-21,Latin America,Brazil,
15-May-21,Latin America,Mexico,
15-May-21,Latin America,Mexico,
16-May-21,Latin America,Colombia,
17-May-21,Latin America,Bolivia,
19-May-21,Latin America,Trinidad and Tobago,0.1
19-May-21,Latin America,El Salvador,
23-May-21,Latin America,Colombia,
24-May-21,Latin America,Venezuela,0.5
24-May-21,Latin America,Chile,
25-May-21,Latin America,Dominican Republic,
26-May-21,Latin America,Brazil,
26-May-21,Latin America,Peru,
26-May-21,Latin America,Dominican Republic,
26-May-21,Latin America,Brazil,
27-May-21,Latin America,Argentina,
28-May-21,Latin America,Chile,
29-May-21,Latin America,Ecuador,0.2
29-May-21,Latin America,Ecuador,
30-May-21,Latin America,Peru,
2-Jun-21,Latin America,Peru,
4-Jun-21,Latin America,Dominican Republic,
5-Jun-21,Latin America,Peru,
6-Jun-21,Latin America,Colombia,
9-Jun-21,Latin America,El Salvador,
11-Jun-21,Latin America,Argentina,
12-Jun-21,Latin America,Ecuador,
15-Jun-21,Latin America,Trinidad and Tobago,
16-Jun-21,Latin America,Brazil,
16-Jun-21,Latin America,Chile,
16-Jun-21,Latin America,Ecuador,
17-Jun-21,Latin America,Dominican Republic,
17-Jun-21,Latin America,Dominican Republic,
18-Jun-21,Latin America,Colombia,
20-Jun-21,Latin America,Chile,
22-Jun-21,Latin America,Dominican Republic,
22-Jun-21,Latin America,Argentina,
22-Jun-21,Latin America,Bolivia,
23-Jun-21,Latin America,Argentina,
23-Jun-21,Latin America,Argentina,
24-Jun-21,Latin America,Bolivia,
26-Jun-21,Latin America,Colombia,
26-Jun-21,Latin America,Brazil,
26-Jun-21,Latin America,Chile,
26-Jun-21,Latin America,Chile,
27-Jun-21,Latin America,Argentina,
28-Jun-21,Latin America,Colombia,
28-Jun-21,Latin America,Ecuador,
29-Jun-21,Latin America,Guyana,
29-Jun-21,Latin America,Brazil,
29-Jun-21,Latin America,Suriname,0.1
30-Jun-21,Latin America,Barbados,0.03
30-Jun-21,Latin America,Antigua and Barbuda,0.02
30-Jun-21,Latin America,Guyana,
1-Jul-21,Latin America,Bolivia,
3-Jul-21,Latin America,Ecuador,
4-Jul-21,Latin America,Argentina,
7-Jul-21,Latin America,El Salvador,
7-Jul-21,Latin America,Ecuador,
9-Jul-21,Latin America,Dominican Republic,
9-Jul-21,Latin America,Argentina,
10-Jul-21,Latin America,Ecuador,
10-Jul-21,Latin America,Mexico,
10-Jul-21,Latin America,Argentina,
10-Jul-21,Latin America,Colombia,
10-Jul-21,Latin America,Peru,
11-Jul-21,Latin America,Argentina,
11-Jul-21,Latin America,Bolivia,
11-Jul-21,Latin America,Colombia,
13-Jul-21,Latin America,Trinidad and Tobago,
13-Jul-21,Latin America,Brazil,
13-Jul-21,Latin America,Argentina,
14-Jul-21,Latin America,Brazil,
14-Jul-21,Latin America,Mexico,
15-Jul-21,Latin America,Brazil,
15-Jul-21,Latin America,Argentina,
16-Jul-21,Latin America,Brazil,
16-Jul-21,Latin America,Argentina,
17-Jul-21,Latin America,Bolivia,
18-Jul-21,Latin America,Ecuador,
18-Jul-21,Latin America,Colombia,
19-Jul-21,Latin America,Mexico,
20-Jul-21,Latin America,Argentina,
21-Jul-21,Latin America,Argentina,
21-Jul-21,Latin America,Mexico,
22-Jul-21,Latin America,Argentina,
22-Jul-21,Latin America,Argentina,
23-Jul-21,Latin America,Argentina,
23-Jul-21,Latin America,Bolivia,
27-Jul-21,Latin America,El Salvador,
28-Jul-21,Latin America,Mexico,
30-Jul-21,Latin America,Bolivia,
30-Jul-21,Latin America,Chile,
2-Aug-21,Latin America,Bolivia,
2-Aug-21,Latin America,Peru,
3-Aug-21,Latin America,Ecuador,
5-Aug-21,Latin America,Chile,
6-Aug-21,Latin America,Argentina,
6-Aug-21,Latin America,Colombia,
6-Aug-21,Latin America,Bolivia,0.3
6-Aug-21,Latin America,Mexico,
7-Aug-21,Latin America,Colombia,
8-Aug-21,Latin America,Brazil,
11-Aug-21,Latin America,Brazil,
13-Aug-21,Latin America,Brazil,
14-Aug-21,Latin America,Ecuador,
15-Aug-21,Latin America,Peru,
15-Aug-21,Latin America,Peru,
16-Aug-21,Latin America,Bolivia,0.3
18-Aug-21,Latin America,Argentina,
18-Aug-21,Latin America,Ecuador,
18-Aug-21,Latin America,Brazil,
19-Aug-21,Latin America,Argentina,
20-Aug-21,Latin America,Chile,
21-Aug-21,Latin America,Argentina,
21-Aug-21,Latin America,Ecuador,
21-Aug-21,Latin America,Peru,
22-Aug-21,Latin America,Ecuador,
22-Aug-21,Latin America,Peru,
23-Aug-21,Latin America,Brazil,
25-Aug-21,Latin America,Argentina,
27-Aug-21,Latin America,Chile,
29-Aug-21,Latin America,Dominican Republic,
30-Aug-21,Latin America,Peru,
1-Sep-21,Latin America,Cuba,0.25
2-Sep-21,Latin America,Brazil,
2-Sep-21,Latin America,Argentina,
2-Sep-21,Latin America,Argentina,
3-Sep-21,Latin America,Argentina,
4-Sep-21,Latin America,Argentina,
6-Sep-21,Latin America,Bolivia,
7-Sep-21,Latin America,Argentina,
10-Sep-21,Latin America,Peru,
11-Sep-21,Latin America,Peru,
12-Sep-21,Latin America,Peru,
13-Sep-21,Latin America,Colombia,
16-Sep-21,Latin America,Brazil,
19-Sep-21,Latin America,Argentina,
23-Sep-21,Latin America,Argentina,
24-Sep-21,Latin America,Argentina,
24-Sep-21,Latin America,Argentina,
26-Sep-21,Latin America,Argentina,
30-Sep-21,Latin America,Mexico,
2-Oct-21,Latin America,Barbados,
4-Oct-21,Latin America,Argentina,
12-Oct-21,Latin America,Trinidad and Tobago,
21-Oct-21,Latin America,Mexico,
23-Oct-21,Latin America,Peru,
24-Oct-21,Latin America,Peru,
25-Oct-21,Latin America,Peru,
29-Oct-21,Latin America,Peru,
30-Oct-21,Latin America,Ecuador,0.5
31-Oct-21,Latin America,Peru,
5-Nov-21,Latin America,Argentina,
7-Nov-21,Latin America,Argentina,
20-Nov-21,Latin America,Mexico,
22-Nov-21,Latin America,Jamaica,
24-Nov-21,Latin America,Jamaica,0.1
6-Dec-21,Latin America,Chile,
8-Dec-21,Latin America,Mexico,
9-Dec-21,Latin America,Bolivia,
13-Dec-21,Latin America,Nicaragua,0.2
19-Dec-21,Latin America,El Salvador,0.5
19-Dec-21,Latin America,El Salvador,0.1
26-Dec-21,Latin America,Bolivia,3
13-Jan-22,Latin America,Nicaragua,
16-Feb-22,Latin America,Chile,
17-May-22,Latin America,Ecuador,2.5
1-Oct-22,Latin America,Nicaragua,2
11-Oct-22,Latin America,Nicaragua,0.5
10-Nov-22,Latin America,Brazil,
,Latin America,Brazil,
,Latin America,Brazil,
,Latin America,Argentina,
,Latin America,Trinidad and Tobago,
,Latin America,Honduras,
,Latin America,Mexico,
,Latin America,Mexico,
17-Jan-21,Europe,Ukraine,
11-Feb-21,Europe,Serbia,
16-Feb-21,Europe,Hungary,
20-Feb-21,Europe,Belarus,0.1
3-Mar-21,Europe,Montenegro,0.03
8-Mar-21,Europe,Serbia,
11-Mar-21,Europe,Hungary,
12-Mar-21,Europe,North Macedonia,
18-Mar-21,Europe,Hungary,
19-Mar-21,Europe,Serbia,
26-Mar-21,Europe,Ukraine,
6-Apr-21,Europe,Serbia,
10-Apr-21,Europe,Moldova,
22-Apr-21,Europe,Moldova,0.15
27-Apr-21,Europe,Moldova,
29-Apr-21,Europe,Bosnia and Herzegovina,0.05
30-Apr-21,Europe,Montenegro,
30-Apr-21,Europe,Ukraine,
6-May-21,Europe,Bosnia and Herzegovina,
8-May-21,Europe,Hungary,
9-May-21,Europe,Ukraine,
17-May-21,Europe,Hungary,
18-May-21,Europe,Belarus,0.3
26-May-21,Europe,Ukraine,
27-May-21,Europe,Serbia,0.2
19-Jun-21,Europe,Albania,
20-Jun-21,Europe,Albania,
27-Jun-21,Europe,North Macedonia,
1-Jul-21,Europe,Montenegro,
2-Jul-21,Europe,Bosnia and Herzegovina,
13-Jul-21,Europe,Serbia,
15-Jul-21,Europe,Albania,
26-Jul-21,Europe,Belarus,
30-Jul-21,Europe,Bosnia and Herzegovina,
6-Aug-21,Europe,Bosnia and Herzegovina,
25-Aug-21,Europe,Belarus,
4-Sep-21,Europe,Serbia,
5-Sep-21,Europe,Belarus,0.5
9-Sep-21,Europe,Serbia,
10-Sep-21,Europe,Hungary,
10-Nov-21,Europe,Belarus,
11-Nov-21,Europe,Belarus,0.5
23-Dec-21,Europe,Belarus,
19-Jan-22,Europe,Ukraine,
20-Jan-22,Europe,Belarus,
21-Jan-22,Europe,Belarus,1.5
14-Nov-22,Europe,Belarus,2
,Europe,Serbia,
,Europe,Serbia,
,Europe,Hungary,
,Europe,North Macedonia,-
30-Dec-20,Asia and the Pacific,Indonesia,
11-Jan-21,Asia and the Pacific,Philippines,
12-Jan-21,Asia and the Pacific,Indonesia,
12-Jan-21,Asia and the Pacific,Malaysia,
1-Feb-21,Asia and the Pacific,Nepal,
1-Feb-21,Asia and the Pacific,Pakistan,0.5
2-Feb-21,Asia and the Pacific,Indonesia,
2-Feb-21,Asia and the Pacific,Maldives,0.005
7-Feb-21,Asia and the Pacific,Cambodia,0.6
7-Feb-21,Asia and the Pacific,Pakistan,
16-Feb-21,Asia and the Pacific,Laos,0.302
23-Feb-21,Asia and the Pacific,Mongolia,0.3
24-Feb-21,Asia and the Pacific,Thailand,
25-Feb-21,Asia and the Pacific,Philippines,
25-Feb-21,Asia and the Pacific,Indonesia,
26-Feb-21,Asia and the Pacific,Singapore,
27-Feb-21,Asia and the Pacific,Malaysia,
1-Mar-21,Asia and the Pacific,Afghanistan,
2-Mar-21,Asia and the Pacific,Philippines,0.6
2-Mar-21,Asia and the Pacific,Philippines,
3-Mar-21,Asia and the Pacific,Indonesia,
4-Mar-21,Asia and the Pacific,Nepal,
4-Mar-21,Asia and the Pacific,Philippines,
6-Mar-21,Asia and the Pacific,Turkmenistan,
8-Mar-21,Asia and the Pacific,Uzbekistan,
15-Mar-21,Asia and the Pacific,Malaysia,
16-Mar-21,Asia and the Pacific,Cambodia,
17-Mar-21,Asia and the Pacific,Pakistan,0.5
18-Mar-21,Asia and the Pacific,Thailand,
19-Mar-21,Asia and the Pacific,Kyrgyzstan,0.15
20-Mar-21,Asia and the Pacific,Thailand,
20-Mar-21,Asia and the Pacific,Thailand,
21-Mar-21,Asia and the Pacific,Maldives,
22-Mar-21,Asia and the Pacific,Malaysia,
23-Mar-21,Asia and the Pacific,Philippines,0.4
24-Mar-21,Asia and the Pacific,Pakistan,
24-Mar-21,Asia and the Pacific,Pakistan,
24-Mar-21,Asia and the Pacific,Papua New Guinea,
25-Mar-21,Asia and the Pacific,Singapore,
25-Mar-21,Asia and the Pacific,Maldives,0.1
25-Mar-21,Asia and the Pacific,Indonesia,
26-Mar-21,Asia and the Pacific,Cambodia,
26-Mar-21,Asia and the Pacific,Cambodia,0.003
27-Mar-21,Asia and the Pacific,Uzbekistan,
29-Mar-21,Asia and the Pacific,Philippines,
29-Mar-21,Asia and the Pacific,Nepal,0.8
29-Mar-21,Asia and the Pacific,Maldives,0.1
31-Mar-21,Asia and the Pacific,Pakistan,
31-Mar-21,Asia and the Pacific,Sri Lanka,0.6
31-Mar-21,Asia and the Pacific,Laos,0.8
1-Apr-21,Asia and the Pacific,Pakistan,
1-Apr-21,Asia and the Pacific,Pakistan,
1-Apr-21,Asia and the Pacific,Cambodia,0.7
2-Apr-21,Asia and the Pacific,Azerbaijan,
2-Apr-21,Asia and the Pacific,Brunei,0.052
3-Apr-21,Asia and the Pacific,Georgia,
3-Apr-21,Asia and the Pacific,Mongolia,
6-Apr-21,Asia and the Pacific,Thailand,
11-Apr-21,Asia and the Pacific,Thailand,
11-Apr-21,Asia and the Pacific,Philippines,
12-Apr-21,Asia and the Pacific,Solomon Islands,0.05
13-Apr-21,Asia and the Pacific,Cambodia,
16-Apr-21,Asia and the Pacific,Pakistan,
17-Apr-21,Asia and the Pacific,Cambodia,
18-Apr-21,Asia and the Pacific,Pakistan,
19-Apr-21,Asia and the Pacific,Indonesia,
21-Apr-21,Asia and the Pacific,Philippines,
22-Apr-21,Asia and the Pacific,Timor Leste,
24-Apr-21,Asia and the Pacific,Mongolia,
24-Apr-21,Asia and the Pacific,Thailand,
24-Apr-21,Asia and the Pacific,Pakistan,
25-Apr-21,Asia and the Pacific,Pakistan,
25-Apr-21,Asia and the Pacific,Pakistan,
25-Apr-21,Asia and the Pacific,Pakistan,
25-Apr-21,Asia and the Pacific,Pakistan,
26-Apr-21,Asia and the Pacific,Thailand,
27-Apr-21,Asia and the Pacific,Uzbekistan,
28-Apr-21,Asia and the Pacific,Cambodia,0.4
29-Apr-21,Asia and the Pacific,Philippines,
30-Apr-21,Asia and the Pacific,Georgia,0.1
30-Apr-21,Asia and the Pacific,Laos,0.3
30-Apr-21,Asia and the Pacific,Pakistan,
30-Apr-21,Asia and the Pacific,Indonesia,
1-May-21,Asia and the Pacific,Armenia,0.1
5-May-21,Asia and the Pacific,Myanmar,0.5
6-May-21,Asia and the Pacific,Philippines,
6-May-21,Asia and the Pacific,Pakistan,
9-May-21,Asia and the Pacific,Pakistan,
10-May-21,Asia and the Pacific,Pakistan,
10-May-21,Asia and the Pacific,Turkmenistan,
12-May-21,Asia and the Pacific,Bangladesh,0.5
12-May-21,Asia and the Pacific,Cambodia,
13-May-21,Asia and the Pacific,Thailand,0.5
16-May-21,Asia and the Pacific,Georgia,
16-May-21,Asia and the Pacific,Pakistan,
16-May-21,Asia and the Pacific,Pakistan,
17-May-21,Asia and the Pacific,Cambodia,
17-May-21,Asia and the Pacific,Thailand,
18-May-21,Asia and the Pacific,Azerbaijan,0
18-May-21,Asia and the Pacific,Uzbekistan,
19-May-21,Asia and the Pacific,Uzbekistan,
20-May-21,Asia and the Pacific,Philippines,
